repentance	18	25	37	56	84	124	186	269	380	scarecrow	0	1	2	3	5	7	16	22	39
hail	1	3	3	5	10	13	25	42	89	riot	5	9	14	22	29	48	91	150	239
insolence	0	1	4	7	12	22	40	83	140	porthole	0	1	1	1	1	1	1	4	7
magnificence	10	18	26	38	61	87	146	230	375	metamorphosis	0	2	3	3	3	3	10	13	20
bondage	26	44	65	90	122	182	247	323	427	patter	1	2	3	3	3	4	5	5	11
vehemence	3	6	8	13	24	46	73	128	240	brigadier	15	16	22	27	41	51	66	94	130
eminence	0	0	0	0	0	0	0	2	2	heather	45	83	127	196	284	424	586	835	1207
shrieks	29	40	50	74	96	132	180	253	343	oyster	7	7	10	12	19	32	55	91	153
gallantry	3	4	4	6	9	10	13	15	23	mausoleum	2	5	6	10	17	30	44	63	94
deportment	0	1	1	4	6	7	11	16	32	horsehair	0	0	0	0	0	3	4	9	17
idleness	2	2	3	6	10	31	49	84	137	hearsay	4	7	9	14	21	32	52	86	143
drapery	4	7	11	13	15	26	32	64	94	leavin	1	3	5	14	27	42	61	90	130
wretchedness	2	4	14	23	35	65	118	194	330	spaciousness	6	7	10	18	28	46	92	136	212
conjecture	7	9	17	30	47	65	110	176	248	solicitor	7	13	15	19	39	55	99	147	217
provision	66	118	195	298	492	774	1155	1679	2278	livestock	24	29	37	53	77	106	158	241	373
deliverance	1	3	8	14	29	53	90	142	218	windowpane	0	1	3	3	3	5	9	19	27
repast	0	0	0	0	1	3	10	28	47	topaz	25	34	50	67	85	104	139	177	238
dominion	0	1	1	2	4	8	23	40	66	gondola	2	3	3	5	7	15	22	37	66
damsel	1	1	1	1	2	3	3	6	10	tinkle	0	0	0	1	1	1	1	1	4
yoke	1	1	1	4	5	10	27	48	87	query	15	25	38	80	151	258	425	675	1098
vigilance	1	2	3	3	4	6	11	26	66	sapphire	31	43	56	68	90	114	164	214	290
wont	249	333	451	591	756	997	1280	1638	2160	quart	6	8	14	30	43	68	101	137	203
oppression	30	44	67	94	137	211	316	476	690	toothbrush	4	5	8	13	22	37	52	74	118
edifice	1	1	3	4	5	8	16	38	67	lilacs	8	15	21	35	44	61	76	106	142
impudence	2	3	3	5	7	17	34	68	136	oilcloth	1	1	1	2	2	2	4	6	15
peal	1	1	1	2	3	3	5	8	10	ber	0	0	0	0	0	0	3	5	12
forbearance	2	3	5	6	12	22	31	51	78	fabrication	9	11	17	26	39	80	119	185	325
saith	13	16	21	23	34	54	93	136	200	pard	0	0	0	0	0	0	0	1	3
inconvenience	5	12	23	34	46	79	132	217	377	constellation	1	4	5	10	15	26	42	73	93
orator	3	5	11	16	24	29	42	59	84	chintz	0	0	0	0	1	6	14	20	33
forgetfulness	8	9	16	27	44	67	109	178	268	attractiveness	1	1	3	5	10	25	57	108	176
distrust	29	42	53	67	103	139	211	324	482	tornado	9	12	17	22	29	48	70	98	154
tranquillity	10	11	15	22	32	43	58	91	134	lawlessness	2	6	11	22	41	69	101	154	256
rudeness	9	16	32	47	70	103	154	240	362	spoonful	4	6	10	12	17	21	36	76	125
pretext	5	7	8	13	18	32	56	97	193	hubbub	7	11	16	22	26	31	42	66	100
enchantment	1	3	5	8	11	16	28	44	77	standstill	1	1	1	1	3	3	8	16	28
respectability	1	2	6	11	18	27	44	84	148	inevitability	2	7	9	14	20	33	65	122	246
clime	0	0	1	1	1	1	2	2	3	minuet	0	2	4	10	17	23	41	61	88
conqueror	1	1	2	4	4	7	13	23	37	amethyst	73	84	104	125	157	192	245	319	412
mould	5	5	8	9	13	19	37	61	102	alkali	8	14	26	44	65	99	146	221	318
laurel	2	9	16	31	53	88	162	281	476	possum	2	2	3	4	6	7	14	29	45
cultivation	6	8	19	31	43	63	98	159	234	turbulence	1	3	4	5	11	25	48	82	138
thro	2	3	4	4	5	7	13	17	30	latin	4	7	11	22	44	74	136	232	464
hypocrite	18	35	52	67	98	160	247	352	513	viscount	2	2	2	3	5	5	7	19	32
benefactor	2	2	3	3	6	15	26	39	61	treasurer	21	29	40	55	84	120	185	298	471
felicity	0	0	0	1	1	5	17	40	82	blueness	0	0	0	0	0	0	0	1	9
tread	1	5	6	10	14	19	44	71	137	flute	21	27	37	51	80	102	131	179	251
enmity	9	12	15	21	27	40	69	110	177	coupe	23	44	70	91	134	171	232	338	472
maxim	0	0	0	1	5	7	12	16	30	libel	4	5	9	15	23	43	67	112	174
